age,gender,category,state,occupation,annual_income,disability,is_minority,scheme_id,eligible
28,Female,SC,Andhra Pradesh,Unemployed,188448,No,Yes,S123,Yes
19,Female,General,Andhra Pradesh,Government Employee,495396,No,Yes,S147,No
62,Female,ST,Maharashtra,Senior Citizen,107575,Yes,Yes,S012,Yes
72,Female,OBC,Kerala,Private Employee,560636,Yes,No,S041,No
40,Female,OBC,Telangana,Government Employee,443355,No,Yes,S004,No
53,Female,General,Tamil Nadu,Senior Citizen,324006,No,No,S050,No
58,Female,ST,Telangana,Farmer,463413,Yes,Yes,S119,No
44,Female,SC,Tamil Nadu,Government Employee,287318,Yes,No,S022,No
19,Male,ST,Andhra Pradesh,Senior Citizen,553726,Yes,No,S020,No
59,Female,SC,Kerala,Student,433034,No,No,S141,No
24,Male,SC,Maharashtra,Farmer,403139,No,No,S027,No
72,Male,SC,Tamil Nadu,Unemployed,219786,Yes,Yes,S096,No
27,Female,ST,Maharashtra,Government Employee,228443,No,No,S137,Yes
59,Male,SC,Maharashtra,Senior Citizen,456525,No,No,S137,No
66,Female,ST,Karnataka,Private Employee,127113,No,No,S130,No
78,Male,OBC,Kerala,Private Employee,333524,No,No,S104,No
24,Female,SC,Karnataka,Private Employee,128893,Yes,No,S129,Yes
49,Female,OBC,Karnataka,Senior Citizen,156499,Yes,Yes,S070,No
76,Female,OBC,Maharashtra,Student,388173,No,No,S110,No
61,Female,SC,Kerala,Private Employee,124538,Yes,No,S083,Yes
45,Female,General,Kerala,Farmer,393558,No,Yes,S126,No
80,Female,ST,Karnataka,Senior Citizen,389436,Yes,Yes,S031,No
68,Female,OBC,Tamil Nadu,Government Employee,487303,No,No,S111,No
38,Male,SC,Kerala,Government Employee,360279,No,Yes,S114,No
35,Female,OBC,Karnataka,Government Employee,402463,No,Yes,S079,No
65,Male,OBC,Andhra Pradesh,Student,367384,No,Yes,S041,No
57,Male,ST,Karnataka,Senior Citizen,149965,Yes,Yes,S111,No
29,Female,ST,Tamil Nadu,Farmer,440707,No,Yes,S047,No
19,Male,General,Tamil Nadu,Private Employee,530336,Yes,No,S112,No
41,Female,SC,Karnataka,Unemployed,219013,Yes,Yes,S043,Yes
56,Male,General,Karnataka,Government Employee,109513,Yes,No,S026,Yes
50,Male,ST,Tamil Nadu,Government Employee,157483,Yes,Yes,S143,Yes
46,Male,OBC,Telangana,Private Employee,490442,Yes,No,S076,No
35,Male,OBC,Karnataka,Government Employee,495381,No,Yes,S096,Yes
47,Male,General,Tamil Nadu,Unemployed,161786,No,No,S125,No
33,Female,SC,Telangana,Private Employee,302869,No,No,S073,No
54,Male,ST,Kerala,Private Employee,87571,Yes,No,S133,Yes
18,Female,SC,Kerala,Private Employee,100499,Yes,Yes,S087,Yes
34,Male,General,Tamil Nadu,Government Employee,332449,No,No,S068,Yes
49,Male,General,Kerala,Student,167370,Yes,Yes,S147,Yes
27,Male,SC,Kerala,Student,599902,Yes,Yes,S020,No
74,Female,OBC,Karnataka,Farmer,170377,Yes,No,S085,No
